snum,trial,tname,tvalue,tsuit,tpos,cname,cvalue,csuit,cpos,cf,right,rt,trans,control,visd,visc,memd,memc,lik,free,influence,nlonger,nlongest,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,card12,card13,card14,card15,card16,card17,card18,card19,card20,card21,card22,card23,card24,card25,card26,card27,card28,card29,card30,card31,card32,card33,card34,card35,card36,card37,card38,card39,card40,card41,card42,card43,card44,card45,card46,card1f,card2f,card3f,card4f,card5f,card6f,card7f,card8f,card9f,card10f,card11f,card12f,card13f,card14f,card15f,card16f,card17f,card18f,card19f,card20f,card21f,card22f,card23f,card24f,card25f,card26f,card27f,card28f,card29f,card30f,card31f,card32f,card33f,card34f,card35f,card36f,card37f,card38f,card39f,card40f,card41f,card42f,card43f,card44f,card45f,card46f
2,1,9H,9,2,16,10D,10,4,39,1,0,21366,11,90,1.417,0.05,0.34,0.4,0.521,1,1,1,1,33,6,25,50,46,23,38,42,49,1,27,16,29,34,12,4,24,44,37,45,17,9,2,40,30,21,3,32,18,20,41,5,35,8,31,7,11,10,48,13,39,19,22,43,14,51,1,1,1,1,1,1,1,1,1,1,2,7,2,3,5,7,3,6,5,4,6,4,4,3,2,13,3,4,2,7,7,6,2,5,6,5,1,1,1,1,1,1,1,1,1,1
2,2,7S,7,1,7,KS,13,1,40,1,0,11813,11,90,1.146,0.242,0.602,0.542,0.51,1,1,1,1,20,36,5,28,23,51,16,2,15,44,22,14,29,45,34,11,6,0,50,18,4,41,46,33,42,27,3,37,24,25,35,48,31,47,21,30,13,40,7,12,17,1,9,19,38,39,1,1,1,1,1,1,1,1,1,1,2,7,4,3,5,6,13,2,7,6,5,2,3,3,2,2,5,7,4,6,4,4,6,3,7,5,1,1,1,1,1,1,1,1,1,1
2,3,5D,5,4,20,AH,1,2,35,3,0,11098,11,90,1.052,0.203,0.73,0.316,0.368,1,1,1,1,33,16,21,37,25,9,48,44,2,0,8,46,30,3,36,10,19,12,45,5,15,24,35,49,32,38,34,47,11,43,14,28,51,41,13,4,27,40,18,23,50,20,22,31,29,26,1,1,1,1,1,1,1,1,1,1,4,3,3,6,4,7,6,4,3,2,7,2,6,2,5,7,5,5,2,13,2,4,7,5,3,6,1,1,1,1,1,1,1,1,1,1
2,4,JD,11,4,12,5C,5,3,32,5,0,5707,11,90,1.287,0.174,0.815,0.004,0.493,1,1,1,1,22,21,12,51,19,0,27,41,33,20,6,44,43,31,9,35,29,26,3,5,13,49,16,14,11,45,7,32,38,47,40,30,10,36,24,34,17,8,18,15,1,50,28,39,2,46,1,1,1,1,1,1,1,1,1,1,4,5,5,3,2,6,4,2,3,6,7,13,4,6,2,2,3,3,2,6,4,5,7,7,7,5,1,1,1,1,1,1,1,1,1,1
2,5,2C,2,3,17,KH,13,2,46,1,0,7590,11,90,1.394,0.15,0.705,0.078,0.49,1,1,1,1,23,22,51,41,47,28,36,19,38,5,50,18,24,34,0,33,48,7,31,40,44,30,17,8,32,4,27,12,29,39,16,13,11,2,6,26,9,46,10,43,42,21,15,35,45,25,1,1,1,1,1,1,1,1,1,1,3,5,2,7,3,2,4,4,2,5,7,3,4,5,6,6,13,2,3,6,6,7,4,5,7,2,1,1,1,1,1,1,1,1,1,1
2,6,2H,2,2,9,8D,8,4,12,4,0,3791,11,90,1.292,0.21,0.606,0.152,0.663,1,1,1,1,51,5,32,21,17,22,36,3,4,18,39,46,8,50,12,6,47,27,14,13,10,20,9,42,31,29,49,30,25,45,11,33,7,35,0,28,34,26,16,15,48,43,24,23,1,44,1,1,1,1,1,1,1,1,1,1,3,4,2,3,5,7,2,6,13,4,2,3,5,7,7,2,6,7,5,6,5,6,4,3,4,2,1,1,1,1,1,1,1,1,1,1
2,7,4H,4,2,8,QH,12,2,46,1,0,7978,11,90,1.058,0.327,0.43,0.404,0.472,1,1,1,1,11,18,15,19,50,22,40,5,48,27,13,32,36,41,7,3,6,16,0,10,43,35,4,14,34,1,51,2,44,9,45,21,17,23,46,26,20,28,49,31,25,29,8,38,37,24,1,1,1,1,1,1,1,1,1,1,2,7,5,3,6,2,4,13,7,3,5,7,6,5,4,2,7,2,3,6,4,4,6,2,5,3,1,1,1,1,1,1,1,1,1,1
2,8,6H,6,2,15,10C,10,3,34,5,0,7969,11,90,1.323,-0.064,0.464,0.325,0.59,1,1,1,1,3,20,12,30,48,5,43,42,51,32,33,2,47,40,21,31,16,50,8,23,46,45,27,14,18,7,25,41,15,17,49,39,10,35,34,24,22,36,6,38,4,37,1,28,29,9,1,1,1,1,1,1,1,1,1,1,6,4,2,2,7,3,3,2,3,6,5,7,5,4,13,4,2,3,5,6,7,4,7,5,6,2,1,1,1,1,1,1,1,1,1,1
2,9,8H,8,2,14,7D,7,4,14,7,0,5993,11,90,1.218,0.114,0.846,0.294,0.552,1,1,1,1,15,32,23,13,31,3,37,4,48,7,30,16,29,45,5,51,19,44,21,17,10,33,40,20,28,49,43,47,39,2,14,11,22,42,27,34,41,12,38,0,26,36,50,9,6,18,1,1,1,1,1,1,1,1,1,1,2,4,2,7,3,3,2,7,4,5,5,6,6,13,5,7,4,7,3,2,6,3,5,4,6,2,1,1,1,1,1,1,1,1,1,1
2,10,7D,7,4,15,4D,4,4,36,3,0,4754,11,90,1.179,0.234,0.609,0.206,0.392,1,1,1,1,11,38,32,46,13,5,9,48,3,29,23,14,22,15,20,40,28,41,12,30,33,17,0,1,45,51,10,7,21,16,36,47,43,2,35,42,27,26,39,24,44,6,25,49,34,50,1,1,1,1,1,1,1,1,1,1,3,7,5,3,5,7,6,3,4,6,4,2,2,2,13,5,7,6,5,4,7,6,4,2,2,3,1,1,1,1,1,1,1,1,1,1
